carid,tradeTime,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,registerDate,licenseDate,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price
1,2021-06-28,1,1,1,4.01,1,1,1,0,5,2017-12-01,2018-01-26,779413,1,2017,1.5,1,1,6.88,4.24
2,2021-06-25,2,2,2,8.6,1,2,1,0,5,2016-12-01,2017-03-21,779415,2,2017,1.2,2,1,11.98,7.38
5,2021-06-19,5,5,5,15.56,1,2,3,0,5,2008-02-01,2008-02-27,,,2008,1.6,4,1,12.78,1
6,2021-06-29,6,6,6,6.04,1,3,1,3,5,2016-08-01,2016-09-09,779413,1,2016,1.3,2,1,9.49,4.38
7,2021-06-30,7,7,7,5.7,4,1,2,2,5,2012-08-01,2012-08-28,779415,2,2012,2,5,1,18.08,5.9
10,2021-06-08,2,10,10,13.02,1,2,3,1,5,2006-10-01,2006-11-27,779415,2,2006,1.5,4,1,11.25,1.49
12,2021-06-16,10,12,12,7.03,5,3,2,0,5,2011-10-01,2012-03-13,779413,1,2010,1,6,1,4.18,0.3
13,2021-07-17,6,13,13,4.64,1,3,1,0,5,2018-11-01,2018-12-25,779413,1,2018,1.4,2,1,9.68,5.95
14,2021-07-30,8,14,14,16.27,4,1,2,0,5,2007-07-01,2007-07-17,779412,2,2006,2,3,1,16.98,1.18
18,2021-05-30,13,18,18,5.45,1,2,1,0,5,2015-09-01,2016-11-11,779416,2,,1.5,3,1,13.79,4.98
20,2021-07-31,8,8,20,4.09,1,2,1,0,5,2018-06-01,2018-11-08,779412,2,2017,1.5,9,1,9.56,5.9
22,2021-06-12,12,21,22,4.65,3,1,1,0,5,2016-09-01,2016-09-26,779415,2,2016,1.5,11,1,8.58,6.5
23,2021-07-28,1,1,23,5.29,1,2,1,0,5,2017-11-01,2017-12-19,779413,1,2017,1.5,1,1,7.58,4.15
24,2021-07-16,15,22,24,8.11,6,5,1,0,5,2016-06-01,2016-07-01,779413,1,2016,1.5,6,1,12.38,4.8
25,2021-07-26,16,23,25,9.82,3,5,1,0,5,2015-06-01,2015-11-11,779415,2,2015,2.5,3,1,19.98,10.68
26,2021-06-27,13,18,26,3.43,2,3,2,0,5,2010-04-01,2010-06-09,779416,2,2009,1.8,3,1,14.89,3
31,2021-06-02,21,28,31,9.56,7,2,2,0,5,2010-09-01,2010-11-24,779413,1,2009,1,6,1,4.68,0.1
32,2021-07-18,22,29,32,1.25,1,3,1,0,5,2018-08-01,2018-09-18,779413,1,2017,1.5,16,1,10.78,6.75
33,2021-07-24,13,30,33,2.7,1,5,4,0,5,2019-06-01,2020-01-02,779416,2,2019,1.3,3,1,11.49,6.1
34,2021-06-08,5,31,34,6.68,3,1,1,0,7,2016-12-01,2017-02-07,779416,2,2014,2.4,3,1,20.9,10.65
38,2021-05-14,23,35,38,26.39,2,1,1,0,5,2014-09-01,2014-11-03,779419,2,2013,2,6,1,16.98,3.44
40,2021-06-10,24,36,40,0.83,1,1,4,1,5,2018-10-01,2019-12-25,779413,1,2019,2.4,12,1,11.29,6
41,2021-06-26,16,37,41,2.44,3,2,1,0,5,2018-12-01,2019-04-19,779415,2,2018,2,3,1,16.98,9.5
45,2021-05-06,25,41,45,8,1,3,1,0,5,2014-07-01,2014-08-19,779413,1,2014,2,12,1,11.88,3.3
50,2021-06-29,18,45,49,9.29,6,3,1,0,5,2016-04-01,2016-08-17,779412,3,2015,2,13,1,45.7,23.4
51,2021-06-06,8,16,50,12.43,5,3,2,0,5,2012-05-01,2012-06-13,779412,2,2012,1.6,6,1,11.88,3.5
55,2021-04-28,5,31,54,3.24,5,3,4,0,7,2019-05-01,2019-06-25,779416,2,2018,2,3,1,25.29,21.5
56,2021-06-16,10,49,55,3.25,1,2,1,1,5,2018-06-01,2018-07-24,779413,1,2018,1.5,4,1,5.99,3.9
57,2021-06-01,19,50,56,14.71,2,1,2,0,5,2013-05-01,2013-06-07,779413,1,2012,1.5,6,1,8.48,1.64
64,2021-06-16,23,55,63,7.23,1,3,1,0,5,2016-12-01,2017-06-16,779419,2,2016,1.6,3,1,11.98,6.62
66,2021-06-16,7,57,65,3.78,4,1,1,1,5,2018-08-01,2018-12-21,779415,2,2019,2,20,1,19.68,13.5
67,2021-06-05,13,58,66,6.4,3,3,2,1,5,2011-01-01,2011-04-25,779416,2,2010,1.4,1,1,7.58,1.98
68,2021-04-10,1,59,67,1,1,1,1,0,5,2018-01-01,2018-03-01,779413,1,2016,1.2,6,1,3.98,2.2
72,2021-07-15,12,43,47,12.84,6,5,1,1,5,2016-09-01,2016-10-18,779415,2,2016,1.5,11,1,8.98,5.2
74,2021-07-13,16,64,72,3.28,4,1,2,1,5,2015-10-01,2015-12-16,779415,3,2015,2.5,3,1,24.58,10.6
75,2021-06-22,15,65,73,1.08,2,3,4,0,5,2021-01-01,2021-03-16,,,2021,1.5,3,1,14.68,11.7
76,2021-04-23,11,63,74,12.2,5,1,2,2,5,2011-04-01,2011-05-17,779412,2,2011,2,2,1,36.98,6.84
78,2021-07-10,11,63,76,6.18,1,1,1,0,5,2018-05-01,2018-07-18,779412,2,2018,2,7,1,30.7,18.6
79,2021-07-07,12,21,77,10.26,2,3,2,1,5,2008-06-01,2008-10-20,779415,2,2008,1.5,21,1,12.98,3.2
85,2021-07-29,23,68,83,5.81,1,5,1,0,5,2018-06-01,2018-11-15,779419,2,2018,1.6,3,1,8.49,4.9
88,2021-06-26,12,71,86,6.39,3,2,1,0,5,2018-07-01,2018-09-06,779415,2,2016,1.5,11,1,13.99,10.9
